COD IBGE;UF;Município;Populaçao;RENDA1;RENDA2;EDUC1;EDUC2;IEOC;ENDcont1;ENDcont2;IGD;IGDu;IGDe;IGDm;IDI;CP1;CP2;N;NE;CO;S;SE;ESQ;DIR;CENTRO;CPP;CPG;ME;TG;TA;TP;BP
3533254;SP;NOVAIS;5202;662.2;0.4523;10.4;0.890699862;1.175170873;0.076210939;0.18814263;0.927984725;0.541333863;0.2073987;0.179252163;0.115388663;0.572388093;2.338569119;0;0;0;0;1;0;0;1;0;1;1;3.3;3.035714286;5.517241379;0
1715101;TO;NOVO ACORDO;4101;345.6;0.551;13.9;0.713915786;1.116339903;0.102835718;0.270684577;1.00118537;0.700681262;0.121142302;0.179361806;0.085780118;0.745506915;3.929379849;1;0;0;0;0;1;0;0;0;0;1;5.7;6.607142857;3.448275862;6.666666667
1715150;TO;NOVO ALEGRE;2350;427.99;0.529;14.3;0.737638366;1.273479709;-0.131468411;0.021838262;1.029410216;0.868514311;0.105157535;0.055738369;0.13538613;0.507821669;2.03178388;1;0;0;0;0;0;0;1;0;0;0;2.9;3.392857143;0;6.666666667
4313490;RS;NOVO BARREIRO;4150;761.53;0.6229;9.2;0.73142461;1.366513397;0.161568442;1.085750093;0.825049833;0.513806013;0.230425332;0.080818488;0.08456373;0.495658744;1.982784449;0;0;0;1;0;0;0;1;0;1;1;7;9.285714286;6.206896552;0
5215207;GO;NOVO BRASIL;3392;582.15;0.4362;12.7;0.772302521;1.216022376;0.633493498;0.839548778;0.929216705;0.666576365;0.196130724;0.066509616;0.0667979;0.496634719;1.986628872;0;0;1;0;0;0;0;1;0;0;1;1.9;3.392857143;0;0
4313391;RS;NOVO CABRAIS;4067;603.02;0.432;7.5;0.682587371;1.239927215;-0.134833451;0.11700177;1.00974794;0.605572879;0.278300883;0.125874178;0.031491658;0;1;0;0;0;1;0;1;0;0;1;0;1;7.4;9.285714286;7.586206897;0
3145307;MG;NOVO CRUZEIRO;31760;262.68;0.5383;28.2;0.729967603;1.116960615;-0.056422844;0.152980557;0.900905167;0.53666245;0.213361785;0.150880932;0.109888494;0.629859849;2.701679343;0;0;0;0;1;1;0;0;0;0;1;2.7;4.821428571;0;0
4313409;RS;NOVO HAMBURGO;248251;992.7;0.5387;3.2;0.72840936;1.1011431;0.652714205;1.426261585;0.537454109;0.185702902;0.233751999;0.117999208;0.052403835;0.067512799;1.072400778;0;0;0;1;0;0;0;1;0;1;1;10;10;10;10
5106273;MT;NOVO HORIZONTE DO NORTE;3830;462.74;0.4925;15.5;0.789887155;1.333309873;0.13163784;0.711544951;0.800396362;0.492570694;0.231922305;0.075903363;0.136429566;0.49835262;1.99343212;0;0;1;0;0;0;0;1;0;0;0;3.9;1.607142857;6.896551724;6.666666667
1100502;RO;NOVO HORIZONTE DO OESTE;10393;331.53;0.5214;14.4;0.792352159;1.292602435;0.400911208;0.996611589;0.69889321;0.389186274;0.213433202;0.096273734;0.07008802;0.498434239;1.993756508;1;0;0;0;0;0;0;1;0;0;1;8.8;9.107142857;7.586206897;10
5006259;MS;NOVO HORIZONTE DO SUL;4442;468.46;0.4063;12.8;0.611254265;1.225714972;-0.03496805;0.050052506;0.98689428;0.50941938;0.316221202;0.161253697;0.050311687;0.626708731;2.678873261;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
4117297;PR;NOVO ITACOLOMI;2906;551.33;0.3819;10.1;0.822305819;1.418346678;-0.147477434;0.098844863;1.011477111;0.692888639;0.250887912;0.067700559;0.20560796;0.464264662;1.866593315;0;0;0;1;0;0;0;1;0;0;1;7;6.25;6.896551724;10
4313425;RS;NOVO MACHADO;3866;530.64;0.4135;6.7;0.736435126;1.501667767;-0.240355751;0.882014092;0.818937077;0.501992406;0.289298042;0.027646628;0.073011058;0.49836751;1.993491292;0;0;0;1;0;1;0;0;1;0;0;8.3;7.857142857;10;6.666666667
5106265;MT;NOVO MUNDO;8174;458.92;0.5311;10.8;0.71097196;1.308982882;-0.408815756;0.288012739;0.824806036;0.341688174;0.381120261;0.101997601;0.118224952;0.559244995;2.268834135;0;0;1;0;0;1;0;0;0;0;1;8.3;7.5;8.965517241;10
3145356;MG;NOVO ORIENTE DE MINAS;10773;266.68;0.5621;30.9;0.768246222;1.232022275;0.125566677;0.223340246;0.969347952;0.673703933;0.144697466;0.150946553;0.079430743;0.498619774;1.994494295;0;0;0;0;1;0;0;1;0;0;0;2.2;0.357142857;6.896551724;0
5215256;GO;NOVO PLANALTO;4252;366.75;0.506;19.6;0.706408879;1.168581016;0.755017822;1.385945007;1.033258579;0.661678706;0.274132823;0.09744705;0.015684423;0.499719155;1.998877251;0;0;1;0;0;0;0;1;0;0;1;6.4;7.857142857;6.896551724;0
1505031;PA;NOVO PROGRESSO;25169;642.52;0.5563;9.6;0.6467141;1.201408391;0.194809456;0.430352331;0.915457376;0.361122897;0.243050527;0.311283952;0.041817194;0.686538869;3.190188199;1;0;0;0;0;0;0;1;0;0;1;2.9;0.714285714;8.620689655;0
1505064;PA;NOVO REPARTIMENTO;69267;251.79;0.5957;21.2;0.459666784;1.130187442;0.031319561;0.129301308;0.989690142;0.466221568;0.133661364;0.38980721;0.027885108;0.48703628;1.949455606;1;0;0;0;0;0;0;1;0;0;1;6.1;6.964285714;5.862068966;3.333333333
